Modèle,AUC,Recall_1,Precision_1,F1_1,Coût_total_métier,Seuil_métier
Logistic Regression,0.7399884097681418,0.42779456193353477,0.21518666734207995,0.28634019749924167,99170,0.64
Random Forest,0.7208916281570975,0.35518630412890234,0.22291041238742298,0.27391515386855647,101427,0.14
Gradient Boosting,0.7490895718042643,0.40986908358509566,0.23381398288045038,0.297764933972272,96994,0.14
