Seuil,Cout_total
0.0,56538
0.010101010101010102,56536
0.020202020202020204,54539
0.030303030303030304,47628
0.04040404040404041,40280
0.05050505050505051,34674
0.06060606060606061,30802
0.07070707070707072,28244
0.08080808080808081,26561
0.09090909090909091,25471
0.10101010101010102,24654
0.11111111111111112,24144
0.12121212121212122,23882
0.13131313131313133,23872
0.14141414141414144,23898
0.15151515151515152,24046
0.16161616161616163,24243
0.17171717171717174,24534
0.18181818181818182,24853
0.19191919191919193,24975
0.20202020202020204,25143
0.21212121212121213,25294
0.22222222222222224,25634
0.23232323232323235,25888
0.24242424242424243,26082
0.25252525252525254,26358
0.26262626262626265,26566
0.27272727272727276,26780
0.2828282828282829,26999
0.29292929292929293,27155
0.30303030303030304,27366
0.31313131313131315,27598
0.32323232323232326,27811
0.33333333333333337,28043
0.3434343434343435,28203
0.3535353535353536,28332
0.36363636363636365,28489
0.37373737373737376,28598
0.38383838383838387,28697
0.393939393939394,28753
0.4040404040404041,28860
0.4141414141414142,28920
0.42424242424242425,29004
0.43434343434343436,29047
0.4444444444444445,29098
0.4545454545454546,29145
0.4646464646464647,29210
0.4747474747474748,29281
0.48484848484848486,29334
0.494949494949495,29355
0.5050505050505051,29418
0.5151515151515152,29458
0.5252525252525253,29494
0.5353535353535354,29519
0.5454545454545455,29551
0.5555555555555556,29589
0.5656565656565657,29626
0.5757575757575758,29643
0.5858585858585859,29652
0.595959595959596,29673
0.6060606060606061,29689
0.6161616161616162,29701
0.6262626262626263,29725
0.6363636363636365,29743
0.6464646464646465,29755
0.6565656565656566,29754
0.6666666666666667,29760
0.6767676767676768,29766
0.686868686868687,29772
0.696969696969697,29784
0.7070707070707072,29784
0.7171717171717172,29784
0.7272727272727273,29784
0.7373737373737375,29784
0.7474747474747475,29784
0.7575757575757577,29784
0.7676767676767677,29784
0.7777777777777778,29784
0.787878787878788,29784
0.797979797979798,29784
0.8080808080808082,29790
0.8181818181818182,29790
0.8282828282828284,29790
0.8383838383838385,29790
0.8484848484848485,29790
0.8585858585858587,29790
0.8686868686868687,29790
0.8787878787878789,29790
0.888888888888889,29790
0.8989898989898991,29790
0.9090909090909092,29790
0.9191919191919192,29790
0.9292929292929294,29790
0.9393939393939394,29790
0.9494949494949496,29790
0.9595959595959597,29790
0.9696969696969697,29790
0.9797979797979799,29790
0.98989898989899,29790
1.0,29790
